Challenge,doc1 ,doc2,doc3,doc4,doc5
Online Product Sales ,https://www.kaggle.com/competitions/online-sales/discussion/2136,https://www.kaggle.com/competitions/online-sales/discussion/10529,https://www.kaggle.com/competitions/online-sales/discussion/1865,https://www.kaggle.com/competitions/online-sales/discussion/2114,https://www.kaggle.com/competitions/online-sales/discussion/12310
Recruit Restaurant Visitor Forecasting,https://www.kaggle.com/competitions/recruit-restaurant-visitor-forecasting/discussion/46602,https://www.kaggle.com/competitions/recruit-restaurant-visitor-forecasting/discussion/49129,https://www.kaggle.com/competitions/recruit-restaurant-visitor-forecasting/discussion/49174,https://www.kaggle.com/competitions/recruit-restaurant-visitor-forecasting/discussion/49166,https://www.kaggle.com/competitions/recruit-restaurant-visitor-forecasting/discussion/45874
sberbank-russian-housing-market,https://www.kaggle.com/competitions/sberbank-russian-housing-market/discussion/35684,https://www.kaggle.com/competitions/sberbank-russian-housing-market/discussion/32717,https://www.kaggle.com/competitions/sberbank-russian-housing-market/discussion/33887,https://www.kaggle.com/competitions/sberbank-russian-housing-market/discussion/32993,https://www.kaggle.com/competitions/sberbank-russian-housing-market/discussion/33510
ashrae-energy-prediction,https://www.kaggle.com/competitions/ashrae-energy-prediction/discussion/112872,https://www.kaggle.com/competitions/ashrae-energy-prediction/discussion/123481,https://www.kaggle.com/competitions/ashrae-energy-prediction/discussion/124709,https://www.kaggle.com/competitions/ashrae-energy-prediction/discussion/114345,https://www.kaggle.com/competitions/ashrae-energy-prediction/discussion/122503
M5 Forecasting - Accuracy,https://www.kaggle.com/competitions/m5-forecasting-accuracy/discussion/138881,https://www.kaggle.com/competitions/m5-forecasting-accuracy/discussion/150568,https://www.kaggle.com/competitions/m5-forecasting-accuracy/discussion/163684,https://www.kaggle.com/competitions/m5-forecasting-accuracy/discussion/133834,https://www.kaggle.com/competitions/m5-forecasting-accuracy/discussion/144067
LANL Earthquake Prediction,https://www.kaggle.com/competitions/LANL-Earthquake-Prediction/discussion/94390,https://www.kaggle.com/competitions/LANL-Earthquake-Prediction/discussion/80250,https://www.kaggle.com/competitions/LANL-Earthquake-Prediction/discussion/94407,https://www.kaggle.com/competitions/LANL-Earthquake-Prediction/discussion/89909,https://www.kaggle.com/competitions/LANL-Earthquake-Prediction/discussion/91298
Optiver Realized Volatility Prediction,https://www.kaggle.com/competitions/optiver-realized-volatility-prediction/discussion/274970,https://www.kaggle.com/competitions/optiver-realized-volatility-prediction/discussion/263308,https://www.kaggle.com/competitions/optiver-realized-volatility-prediction/discussion/279170,https://www.kaggle.com/competitions/optiver-realized-volatility-prediction/discussion/249523,https://www.kaggle.com/competitions/optiver-realized-volatility-prediction/discussion/256080
Optiver Realized Volatility Prediction with Missingness,https://www.kaggle.com/competitions/optiver-realized-volatility-prediction/discussion/274970,https://www.kaggle.com/competitions/optiver-realized-volatility-prediction/discussion/263308,https://www.kaggle.com/competitions/optiver-realized-volatility-prediction/discussion/279170,https://www.kaggle.com/competitions/optiver-realized-volatility-prediction/discussion/249523,https://www.kaggle.com/competitions/optiver-realized-volatility-prediction/discussion/256080
Optiver Realized Volatility Prediction with Hyperparameter Search,https://www.kaggle.com/competitions/optiver-realized-volatility-prediction/discussion/274970,https://www.kaggle.com/competitions/optiver-realized-volatility-prediction/discussion/263308,https://www.kaggle.com/competitions/optiver-realized-volatility-prediction/discussion/279170,https://www.kaggle.com/competitions/optiver-realized-volatility-prediction/discussion/249523,https://www.kaggle.com/competitions/optiver-realized-volatility-prediction/discussion/256080
Google Brain - Ventilator Pressure Prediction,https://www.kaggle.com/competitions/ventilator-pressure-prediction/discussion/285256,https://www.kaggle.com/competitions/ventilator-pressure-prediction/discussion/276599,https://www.kaggle.com/competitions/ventilator-pressure-prediction/discussion/285330,https://www.kaggle.com/competitions/ventilator-pressure-prediction/discussion/276138,https://www.kaggle.com/competitions/ventilator-pressure-prediction/discussion/273974
Google Brain - Ventilator Pressure Prediction with Missingness,https://www.kaggle.com/competitions/ventilator-pressure-prediction/discussion/285256,https://www.kaggle.com/competitions/ventilator-pressure-prediction/discussion/276599,https://www.kaggle.com/competitions/ventilator-pressure-prediction/discussion/285330,https://www.kaggle.com/competitions/ventilator-pressure-prediction/discussion/276138,https://www.kaggle.com/competitions/ventilator-pressure-prediction/discussion/273974
